,,,,,,
Culture,semis plantation,date de plantation,week number,Type,Winter,Greenhouse
Fève,Semis,15/02/2026,8,Early,full,both
Fève,plantation,15/02/2026,8,Early,full,both
Petit Pois,semis,15/02/2026,8,Early,,both
Radis,Semis,15/02/2026,8,early,,both
Carotte,semis,22/02/2026,9,early,little,TRUE
Epinard,plantation,22/02/2026,9,early,little,FALSE
Navet,semis,22/02/2026,9,Early,little,both
ail,plantation,01/03/2026,10,Main,little,FALSE
Betterave,semis,01/03/2026,10,Main,,both
Epinard,plantation,01/03/2026,10,Main,,FALSE
Mesclun,semis,01/03/2026,10,Early,,both
Oignon,Plantation,01/03/2026,10,Main,,FALSE
Panais,semis,01/03/2026,10,Early,,FALSE
Radis,Semis,01/03/2026,10,Main,,both
Radis longs,Semis,01/03/2026,10,Main,,FALSE
Betterave,plantation,08/03/2026,11,early,,both
Blette,plantation,08/03/2026,11,early,,FALSE
Choux rond,plantation,08/03/2026,11,early,,FALSE
Choux Chinois,plantation,08/03/2026,11,Main,,both
Choux Frisé,plantation,08/03/2026,11,early,,FALSE
Choux Rave,plantation,08/03/2026,11,early,,FALSE
Mesclun,plantation,08/03/2026,11,Early,,both
Laitue,Plantation,08/03/2026,11,Early,,FALSE
Carotte,semis,15/03/2026,12,early,,both
Echalote,plantation,15/03/2026,12,Main,,FALSE
Fève,Semis,15/03/2026,12,Main,,FALSE
Navet,semis,15/03/2026,12,Main,,FALSE
Petit Pois,semis,15/03/2026,12,Main,,both
Radis,Semis,15/03/2026,12,Main,,FALSE
Epinard,plantation,22/03/2026,13,Main,,FALSE
Fenouil,plantation,22/03/2026,13,Main,,FALSE
Fève,plantation,22/03/2026,13,Main,,FALSE
Pomme de terre,Plantation,22/03/2026,13,Early,,both
Betterave,semis,01/04/2026,14,Main,,FALSE
Epinard,plantation,01/04/2026,14,Main,,FALSE
Mesclun,semis,01/04/2026,14,Main,,FALSE
Mesclun,plantation,01/04/2026,14,Main,,FALSE
Laitue,Plantation,01/04/2026,14,Main,,FALSE
Oignon,Plantation,01/04/2026,14,Main,,FALSE
Panais,semis,01/04/2026,14,Main,,FALSE
Radis,Semis,01/04/2026,14,Main,,FALSE
Radis longs,Semis,01/04/2026,14,Main,,FALSE
Betterave,plantation,08/04/2026,15,Main,,FALSE
Blette,plantation,08/04/2026,15,Main,,FALSE
Choux Brocolis,plantation,08/04/2026,15,early,,FALSE
Choux Bruxelles,plantation,08/04/2026,15,early,,FALSE
Choux rond,plantation,08/04/2026,15,Main,,FALSE
Choux Chinois,plantation,08/04/2026,15,Main,,FALSE
Choux Fleur,plantation,08/04/2026,15,early,,FALSE
Choux Frisé,plantation,08/04/2026,15,Main,,FALSE
Choux Rave,plantation,08/04/2026,15,Main,,FALSE
Choux Romanesco,plantation,08/04/2026,15,early,,FALSE
Courgette,plantation,08/04/2026,15,early,,TRUE
Roquette,Plantation,08/04/2026,15,Main,,FALSE
Aubergine,plantation,15/04/2026,16,early,,TRUE
Carotte,semis,15/04/2026,16,Main,,FALSE
Concombre,plantation,15/04/2026,16,early,,TRUE
Courgette,plantation,15/04/2026,16,early,,both
Echalote,plantation,15/04/2026,16,Late,,FALSE
Epinard,plantation,15/04/2026,16,Main,,FALSE
Fève,plantation,15/04/2026,16,Late,,FALSE
Haricot,plantation,15/04/2026,16,Early,,both
Navet,semis,15/04/2026,16,Main,,FALSE
Petit Pois,semis,15/04/2026,16,Main,,FALSE
Fenouil,plantation,22/04/2026,17,Main,,FALSE
Poireaux,Plantation,22/04/2026,17,Main,,FALSE
Fève,Semis,22/04/2026,17,Late,,FALSE
Haricot,semis,22/04/2026,17,Early,,both
Pomme de terre,Plantation,22/04/2026,17,Main,,FALSE
Radis,Semis,22/04/2026,17,Main,,FALSE
Aubergine,plantation,01/05/2026,18,early,,TRUE
Betterave,semis,01/05/2026,18,Main,,FALSE
Blette,plantation,01/05/2026,18,Main,,FALSE
Melon,Plantation,01/05/2026,18,Early,,FALSE
Pastèque,Plantation,01/05/2026,18,Early,,TRUE
Piment,Plantation,01/05/2026,18,Early,,FALSE
Poivron,Plantation,01/05/2026,18,Early,,TRUE
Radis,Semis,01/05/2026,18,Late,,FALSE
Radis longs,Semis,01/05/2026,18,Late,,FALSE
Roquette,Plantation,01/05/2026,18,Main,,FALSE
Tomate ancienne,Plantation,01/05/2026,18,Early,,TRUE
Tomate Cerise,Plantation,01/05/2026,18,Early,,TRUE
Tomate ronde,Plantation,01/05/2026,18,Early,,TRUE
Betterave,plantation,08/05/2026,19,Main,,FALSE
Céléri,plantation,08/05/2026,19,early,,FALSE
Chicorée,plantation,08/05/2026,19,early,,FALSE
Choux Brocolis,plantation,08/05/2026,19,Main,,FALSE
Choux Bruxelles,plantation,08/05/2026,19,Main,,FALSE
Choux rond,plantation,08/05/2026,19,Main,,FALSE
